ko_1,ko_2,ctrl_1,ctrl_2
2.68,2.71,5.76,5.14
3.93,4.25,1.55,2.51
74.97,79.16,82.79,62.81
2.89,4.17,4.3,3.8
0.58,0.43,1.07,0.46
0.21,0.55,0,0
0.44,0.55,0,0.1
2.73,2.35,1.21,0.52
10.4,10.25,4.7,1.74
0.08,0,0,0
0.05,0,0,0
0.07,0,0,0
0.02,0,0.03,0
0,0.03,0,0.05
0.89,0.23,0,0.18
44.41,43.65,13.82,39.96
53.4,56.71,49.63,44.71
1.19,1.06,1.54,3.48
5.73,5.61,4.5,7.74
3.98,3.96,2.63,7.09
0.1,0,0,0
8.48,7.82,2.3,6.12
43,38.72,13.78,11.2
3.6,2.67,1.49,1.68
0.12,0.06,0.26,0.22
0.19,0.22,0.08,0.01
7.82,6.52,7.61,20.13
10.35,9.94,9.23,14.03
145.2,171.95,245.87,204
42.69,51.76,100.42,77.79
4.56,5.51,6.47,10.69
14.55,13.7,16.9,16.62
15.28,15.62,30.84,23.94
0.01,0.01,0,0.01
4.22,3.78,4.73,6.61
0.01,0.01,0.02,0.07
15.3,15.2,10.84,17.86
6.1,5.8,8.79,6.91
0.04,0,0.06,0
33.06,34.06,37.82,30.76
0.04,0,0,0.03
15.61,12.74,2.43,3.18
0.09,0.07,0,0
14.25,14.62,8.33,44.82
1.2,0.52,0.47,0.14
40.21,39.8,31.44,71.5
18.28,21.26,89.66,57.63
6.36,8.53,9.92,8.27
0.04,0,0,0
9.12,8.45,2.59,2.13
0,0.02,0,0
4.6,4.22,1.52,6.66
2.12,2.2,1.47,1.26
157.76,194.74,175.25,134.92
24.07,24.63,24.64,19.54
0.8,1.13,2.24,3.78
1.57,1.23,1.02,0.89
6.61,5.29,16.7,18.83
0.24,0,0,0.3
4.54,5.53,8.91,9.36
4.63,4.51,13.06,19.59
0,0,0,0.55
16.42,20.42,22.77,18.46
38.18,27.83,10.03,23.5
0.4,0.16,0.05,0.23
66.67,65.66,92.81,98.58
0.15,0.19,0.01,0
0.04,0,0,0
0,0.06,0,0.06
0.06,0.06,0.06,0.01
0.61,0.59,0.33,0.34
30.52,33.86,36.54,34.57
0,0,0,0.06
43.32,46.44,88.36,73.93
0.07,0.1,0.14,0.22
0.17,0.33,0.3,0.35
320.44,266.66,192.18,542.48
7.62,6.67,1.23,9.09
0.39,0.19,0.76,0.18
0.24,0.25,0.06,0.09
0.07,0.08,0,0
0,0,0,0.2
0.15,0.31,0.23,0.24
4.29,4.42,6.62,5.95
0.24,0.51,0.09,0.1
0.65,0.85,3.57,3.66
33.85,35.99,38.36,31.86
0,0.02,0,0
6.69,6.1,6.69,12.84
0.02,0,0,0
21.92,22.73,12.95,20.86
1.82,1.91,2.55,2.2
2.66,2.42,2.86,2.51
35.77,39.96,38.43,57.83
0.45,0,0,0
0,0.01,0,0
19.55,16.01,19.21,24
4.59,4.14,5.86,3.35
0.33,0.38,0,0.37
7.48,8.5,32.76,28.8
6.68,9.04,5.56,14.74
151.71,167.95,205.51,98.05
1.55,1.59,0.57,0.51
1.09,1,1.58,1.27
0.98,1.34,1.46,3.82
29.17,27.1,14.79,22.64
0.01,0.01,0.02,0
10.46,7.42,8.29,4.64
4.78,4.89,8.89,8.65
0.06,0.19,0.12,0.15
1.13,1.26,1.63,2.37
0.03,0.09,0.26,0.28
2.64,4.12,2.55,4.13
0.06,0.23,0.1,0.37
3.43,4.18,5.25,3.32
0.23,0,0,0
0.32,0.13,0.22,0.34
0,0,0,0.16
21.57,28.27,82.32,77.91
0.02,0.08,0,0
1.27,1.56,0.24,0.83
1.54,1.01,0.92,0.94
4.06,3.61,1.49,3.59
10.09,10.75,11.84,10.22
0.55,0.5,0.73,0.38
10.61,11.47,15.52,13.99
22.11,20.29,43.41,51.81
0.14,0.14,0.32,0.22
0.01,0.04,0,0
0,0,0,0.12
0.06,0,0,0
0.01,0.1,0.13,0.06
0,0.09,0,0
0.12,0.21,0.4,0.09
0.01,0.01,0,0
8.21,7.95,6.8,16.9
0.04,0.02,0.02,0
167.03,166.06,204.2,149.56
0,0,0.12,0
0.06,0.08,0,0
3.31,7.5,3.15,8.74
0.19,0.12,0.29,0.54
79.8,105.96,156.58,166.41
0,0.09,0,0.28
1.01,1.32,0.89,0.4
